Episode: 111/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 7.6e+01, Epsilon: 0.19
Episode: 112/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4e+02, Epsilon: 0.19
Episode: 113/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.19
Episode: 114/1000, Scores(Time Frames): 167, Total Rewards(adjusted): 2.5e+02, Epsilon: 0.18
Episode: 115/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4.9e+01, Epsilon: 0.18
Episode: 116/1000, Scores(Time Frames): 232, Total Rewards(adjusted): 5.5e+02, Epsilon: 0.18
Episode: 117/1000, Scores(Time Frames): 314, Total Rewards(adjusted): 6.5e+02, Epsilon: 0.17
Episode: 118/1000, Scores(Time Frames): 144, Total Rewards(adjusted): 3.4e+02, Epsilon: 0.17
Episode: 119/1000, Scores(Time Frames): 144, Total Rewards(adjusted): 3.4e+02, Epsilon: 0.17
Episode: 120/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.4e+02, Epsilon: 0.16
Episode: 121/1000, Scores(Time Frames): 159, Total Rewards(adjusted): 4.2e+02, Epsilon: 0.16
Episode: 122/1000, Scores(Time Frames): 128, Total Rewards(adjusted): 4.9e+02, Epsilon: 0.16
Episode: 123/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 9.7e+01, Epsilon: 0.16
Episode: 124/1000, Scores(Time Frames): 147, Total Rewards(adjusted): 4.1e+02, Epsilon: 0.16
Episode: 125/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3e+02, Epsilon: 0.15
Episode: 126/1000, Scores(Time Frames): 318, Total Rewards(adjusted): 7.4e+02, Epsilon: 0.15
Episode: 127/1000, Scores(Time Frames): 198, Total Rewards(adjusted): 4.9e+02, Epsilon: 0.15
Episode: 128/1000, Scores(Time Frames): 334, Total Rewards(adjusted): 1e+03, Epsilon: 0.14
Episode: 129/1000, Scores(Time Frames): 223, Total Rewards(adjusted): 2.9e+02, Epsilon: 0.14
Episode: 130/1000, Scores(Time Frames): 334, Total Rewards(adjusted): 9.6e+02, Epsilon: 0.13
Episode: 131/1000, Scores(Time Frames): 201, Total Rewards(adjusted): 7.1e+02, Epsilon: 0.13
Episode: 132/1000, Scores(Time Frames): 207, Total Rewards(adjusted): 4.6e+02, Epsilon: 0.13
Episode: 133/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.1e+02, Epsilon: 0.13
Episode: 134/1000, Scores(Time Frames): 278, Total Rewards(adjusted): 6.5e+02, Epsilon: 0.12
Episode: 135/1000, Scores(Time Frames): 116, Total Rewards(adjusted): 7.1e+01, Epsilon: 0.12
