Episode: 164/1000, Scores(Time Frames): 161, Total Rewards(adjusted): 5.9e+01, Epsilon: 0.34
Episode: 165/1000, Scores(Time Frames): 271, Total Rewards(adjusted): 7.8e+01, Epsilon: 0.34
Episode: 166/1000, Scores(Time Frames): 384, Total Rewards(adjusted): 1.5e+02, Epsilon: 0.33
Episode: 167/1000, Scores(Time Frames): 485, Total Rewards(adjusted): 1.3e+02, Epsilon: 0.33
Episode: 168/1000, Scores(Time Frames): 185, Total Rewards(adjusted): 5.5e+01, Epsilon: 0.32
Episode: 169/1000, Scores(Time Frames): 181, Total Rewards(adjusted): 5.5e+01, Epsilon: 0.32
Episode: 170/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 5.6e+01, Epsilon: 0.32
Episode: 171/1000, Scores(Time Frames): 232, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.31
Episode: 172/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2e+01, Epsilon: 0.31
Episode: 173/1000, Scores(Time Frames): 324, Total Rewards(adjusted): 1.4e+02, Epsilon: 0.31
Episode: 174/1000, Scores(Time Frames): 130, Total Rewards(adjusted): 7.2e+01, Epsilon: 0.31
Episode: 175/1000, Scores(Time Frames): 449, Total Rewards(adjusted): 1.6e+02, Epsilon: 0.3
Episode: 176/1000, Scores(Time Frames): 262, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.29
Episode: 177/1000, Scores(Time Frames): 140, Total Rewards(adjusted): 4.9e+01, Epsilon: 0.29
Episode: 178/1000, Scores(Time Frames): 157, Total Rewards(adjusted): 6.2e+01, Epsilon: 0.29
Episode: 179/1000, Scores(Time Frames): 189, Total Rewards(adjusted): 6.6e+01, Epsilon: 0.29
Episode: 180/1000, Scores(Time Frames): 381, Total Rewards(adjusted): 2.1e+02, Epsilon: 0.28
Episode: 181/1000, Scores(Time Frames): 266, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.28
Episode: 182/1000, Scores(Time Frames): 451, Total Rewards(adjusted): 2e+02, Epsilon: 0.27
Episode: 183/1000, Scores(Time Frames): 193, Total Rewards(adjusted): 1.1e+02, Epsilon: 0.27
Episode: 184/1000, Scores(Time Frames): 500, Total Rewards(adjusted): 3.2e+02, Epsilon: 0.26
Episode: 185/1000, Scores(Time Frames): 500, Total Rewards(adjusted): 3.5e+02, Epsilon: 0.26
Episode: 186/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 5.1e+01, Epsilon: 0.25
Episode: 187/1000, Scores(Time Frames): 161, Total Rewards(adjusted): 1e+02, Epsilon: 0.25
Episode: 188/1000, Scores(Time Frames): 135, Total Rewards(adjusted): 9.8e+01, Epsilon: 0.25
Episode: 189/1000, Scores(Time Frames): 139, Total Rewards(adjusted): 4.7e+01, Epsilon: 0.25
